TaxonId	VirusSpecies
91613	Colombian datura virus
91753	Cucurbit aphid-borne yellows virus
92963	Tomato severe leaf curl virus
94290	Sugarcane yellow leaf virus
94700	Dicliptera yellow mottle virus
96054	Tomato leaf curl Philippines virus
96892	Nanovirus-like particle
99585	Frangipani mosaic virus
99930	Blackcurrant reversion virus satellite RNA
100755	Sweet potato leaf curl virus
100785	Tomato chlorotic dwarf viroid
100887	Soil-borne cereal mosaic virus
101281	Tuberose mild mosaic virus
101688	Apple latent spherical virus
101764	Aconitum latent virus
103722	Grapevine fleck virus
103723	Grapevine Red Globe virus
103881	Potato yellow vein virus
104263	Hop latent virus
104389	Cypripedium virus Y
104390	Pleione virus Y
104392	Rhopalanthe virus Y
104393	Sarcochilus virus Y
104637	Cardamom mosaic virus
104664	Indian citrus ringspot virus
106118	Potato rough dwarf virus
107324	Tobacco vein clearing virus
107804	Sorghum chlorotic spot virus
110139	Citrus viroid IIIc
111418	Zucchini green mottle mosaic virus
111427	Diuris virus Y
111970	Kyuri green mottle mosaic virus
112227	Cactus virus X
112228	Hydrangea ringspot virus
112229	Pepino mosaic virus
112436	Celery mosaic virus
112437	Oat necrotic mottle virus
113553	Poinsettia mosaic virus
114891	Clitoria virus Y
114892	Hibbertia virus Y
114921	Beet mosaic virus
114922	Carrot thin leaf virus
114923	Carrot virus Y
115232	Zea mosaic virus
116056	Pelargonium zonate spot virus
117198	Rhynchosia golden mosaic virus
119910	Ryegrass mottle virus
120168	Bhendi yellow vein mosaic virus
121429	olive latent ringspot virus
122280	Potato virus Y strain NTN
123735	Tomato yellow leaf curl Sardinia virus
127441	Groundnut rosette virus satellite RNA
128790	Bean rugose mosaic virus
128818	Chinese yam necrotic mosaic virus
128941	Tomato curly stunt virus
129141	Citrus leaf blotch virus
129143	Cherry necrotic rusty mottle virus
129732	Sunflower chlorotic mottle virus
131082	Beet chlorosis virus
131083	Turnip yellows virus
131226	Cherry mottle leaf virus
132477	Kalanchoe latent virus
134374	verbena latent virus
134386	Cotton leaf curl betasatellite
134599	Tomato rugose mosaic virus
134632	American plum line pattern virus
134681	Cucurbit leaf crumple virus
135656	strawberry crinkle virus
136138	tobacco mottle virus
136234	Pineapple mealybug wilt-associated virus 2
136418	apricot latent ringspot virus
137475	Cucumber vein yellowing virus
137556	Maize necrotic streak virus
137758	Cassava brown streak virus
138982	Potato latent virus
141860	Grapevine fanleaf virus satellite RNA
142843	Hop mosaic virus
146499	Cucumber fruit mottle mosaic virus
146500	Watermelon mosaic virus
146762	Oat chlorotic stunt virus
147263	Hop stunt viroid - citrus
147306	Petunia vein banding virus
148879	Banmivirus BanMMV
150284	Garlic virus X
150285	Garlic virus E
151043	Tulare apple mosaic virus
152177	Dichorhavirus orchidaceae
152636	ranunculus white mottle virus
154339	Little cherry virus 2
154834	Panicum mosaic satellite virus
