Species	Virus_name_abbreviation
Myriapod hubavirus	HbMV-5
Artashat orthonairovirus	ARTSV
Chim orthonairovirus	CHIMV
Crimean-Congo hemorrhagic fever orthonairovirus	CCHFV
Dera Ghazi Khan orthonairovirus	DGKV
Dugbe orthonairovirus	DUGV
Estero Real orthonairovirus	ERV
Hazara orthonairovirus	HAZV
Hughes orthonairovirus	FARV
Kasokero orthonairovirus	KASV
Keterah orthonairovirus	KETV
Nairobi sheep disease orthonairovirus	NSDV
Qalyub orthonairovirus	QYBV
Sakhalin orthonairovirus	CLOV
Tamdy orthonairovirus	BURV
Thiafora orthonairovirus	TFAV
Spider shaspivirus	SySV-1
Strider striwavirus	SxWSV-1
Herbert herbevirus	HERV
Kibale herbevirus	KIBV
Tai herbevirus	TAIV
Acara orthobunyavirus	ACAV
Acara orthobunyavirus	MORV
Aino orthobunyavirus	AINOV
Akabane orthobunyavirus	AKAV
Akabane orthobunyavirus	TINV
Akabane orthobunyavirus	Y7V
Alajuela orthobunyavirus	ALJV
Alajuela orthobunyavirus	SJV
Anadyr orthobunyavirus	ANADV
Anhembi orthobunyavirus	AMBV
Anopheles A orthobunyavirus	LUKV
Anopheles A orthobunyavirus	ANAV
Anopheles A orthobunyavirus	ARTV, ARMTV
Anopheles A orthobunyavirus	CPEV, CRPV
Anopheles A orthobunyavirus	LMV
Anopheles A orthobunyavirus	TRMV, TUCRV
Anopheles A orthobunyavirus	TUCV
Anopheles B orthobunyavirus	ANBV
Anopheles B orthobunyavirus	BORV
Bakau orthobunyavirus	BAKV
Bakau orthobunyavirus	KETV
Bakau orthobunyavirus	NOLAV
Bakau orthobunyavirus	TRV
Bakau orthobunyavirus	TFV
Batai orthobunyavirus	BATV
Batama orthobunyavirus	BMAV
Bellavista orthobunyavirus	BELLV
Benevides orthobunyavirus	BVSV, BENV
Bertioga orthobunyavirus	BERV
Bertioga orthobunyavirus	CNAV
Bertioga orthobunyavirus	GTBV
Bertioga orthobunyavirus	ITIV
Bertioga orthobunyavirus	MIRV
Bimiti orthobunyavirus	BIMV
Birao orthobunyavirus	BIRV
Botambi orthobunyavirus	BOTV
Bozo orthobunyavirus	BOZOV
Bunyamwera orthobunyavirus	BUNV
Bunyamwera orthobunyavirus	GERV
Bunyamwera orthobunyavirus	LOKV
Bunyamwera orthobunyavirus	MBOV
Bunyamwera orthobunyavirus	NRIV
Bunyamwera orthobunyavirus	NORV
Bunyamwera orthobunyavirus	SARV
Bunyamwera orthobunyavirus	SHOV
Bunyamwera orthobunyavirus	STAV
Bunyamwera orthobunyavirus	XINV
Bushbush orthobunyavirus	BSBV
Bushbush orthobunyavirus	BENV, BNFV
Bushbush orthobunyavirus	JDV
Buttonwillow orthobunyavirus	BUTV
Bwamba orthobunyavirus	BWAV
Bwamba orthobunyavirus	PGAV
Cache Valley orthobunyavirus	CVV
Cache Valley orthobunyavirus	CHLV
Cache Valley orthobunyavirus	TALV
Cachoeira Porteira orthobunyavirus	CPOV
California encephalitis orthobunyavirus	CEV
California encephalitis orthobunyavirus	MBV
Capim orthobunyavirus	CAPV
Caraparu orthobunyavirus	CARV
Caraparu orthobunyavirus	APEUV
Caraparu orthobunyavirus	BRUV
Caraparu orthobunyavirus	EHUV
Caraparu orthobunyavirus	ITYV
Caraparu orthobunyavirus	OSSAV
Caraparu orthobunyavirus	VINV
Cat Que orthobunyavirus	CQV
Cat Que orthobunyavirus	OYAV
Catu orthobunyavirus	CATUV
Enseada orthobunyavirus	ENSV
Faceys paddock orthobunyavirus	FPV
Fort Sherman orthobunyavirus	FSV
Fort Sherman orthobunyavirus	LLV
Gamboa orthobunyavirus	GAMV
Gamboa orthobunyavirus	BLAV
Gamboa orthobunyavirus	CQIV
Gamboa orthobunyavirus	PVV
Gamboa orthobunyavirus	SOBV
Guajara orthobunyavirus	GJAV
Guama orthobunyavirus	GMAV
Guama orthobunyavirus	ANUV
Guama orthobunyavirus	MHV
Guama orthobunyavirus	MOJUV
Guaroa orthobunyavirus	GROV
Iaco orthobunyavirus	IACOV
Ilesha orthobunyavirus	ILEV
Ingwavuma orthobunyavirus	INGV
Jamestown Canyon orthobunyavirus	JCV
Jamestown Canyon orthobunyavirus	INKV
Jamestown Canyon orthobunyavirus	JSV
Jamestown Canyon orthobunyavirus	SORV
Jatobal orthobunyavirus	JASTV
Kaeng Khoi orthobunyavirus	KKV
Kairi orthobunyavirus	KRIV
Keystone orthobunyavirus	KEYV
Koongol orthobunyavirus	KOOV
Koongol orthobunyavirus	WONV
La Crosse orthobunyavirus	LACV
Leanyer orthobunyavirus	LEAV
Lumbo orthbunyavirus	LUMV
Macaua orthobunyavirus	MCAV
Madrid orthobunyavirus	MADV
Maguari orthobunyavirus	MAGV
Maguari orthobunyavirus	PLAV
Main Drain orthobunyavirus	MDV
Manzanilla orthobunyavirus	MANV
Manzanilla orthobunyavirus	INIV
Marituba orthobunyavirus	MTBV
Marituba orthobunyavirus	GLV
Marituba orthobunyavirus	MURV
Marituba orthobunyavirus	NEPV
Marituba orthobunyavirus	RESV
Marituba orthobunyavirus	ZUNV
Melao orthobunyavirus	MELV
Mermet orthobunyavirus	MERV
Minatitlan orthobunyavirus	MNTV
Minatitlan orthobunyavirus	PLSV
MPoko orthobunyavirus	MPOV
MPoko orthobunyavirus	Y1V
Nyando orthobunyavirus	NDV
Nyando orthobunyavirus	ERETV
Nyando orthobunyavirus	MDCV
Olifantsvlei orthobunyavirus	OLIV
Olifantsvlei orthobunyavirus	BIAV
Olifantsvlei orthobunyavirus	DABV
Olifantsvlei orthobunyavirus	OUBIV
Oriboca orthobunyavirus	ORIV
Oriboca orthobunyavirus	ITQV
Oropouche orthobunyavirus	OROV
Oropouche orthobunyavirus	IQTV
Oropouche orthobunyavirus	MDDV
Oropouche orthobunyavirus	PDEV
Oropouche orthobunyavirus	PINTV
Patois orthobunyavirus	PATV
Patois orthobunyavirus	ABRV
Patois orthobunyavirus	BABV
Patois orthobunyavirus	PAHV
Patois orthobunyavirus	SRV
Peaton orthobunyavirus	PEAV
Potosi orthobunyavirus	POTV
Sabo orthobunyavirus	SABOV
San Angelo orthobunyavirus	SAV
Sango orthobunyavirus	SANV
Schmallenberg orthobunyavirus	SBV
Schmallenberg orthobunyavirus	DOUV
Schmallenberg orthobunyavirus	SATV
Schmallenberg orthobunyavirus	SHAV
Serra do Navio orthobunyavirus	SDNV
Shuni orthobunyavirus	SHUV
Shuni orthobunyavirus	KAIV
Simbu orthobunyavirus	SIMV
Simbu orthobunyavirus	PARAV
Snowshoe hare orthobunyavirus	SSHV
Snowshoe hare orthobunyavirus	KHATV
Sororoca orthobunyavirus	SORV
Tacaiuma orthobunyavirus	TCMV
Tacaiuma orthobunyavirus	CA1071V
Tacaiuma orthobunyavirus	CA3626V
Tacaiuma orthobunyavirus	VRV
Tahyna orthobunyavirus	TAHV
Tataguine orthobunyavirus	TATV
Tensaw orthobunyavirus	TENV
Tete orthobunyavirus	TETEV
Tete orthobunyavirus	BAHV
Tete orthobunyavirus	MTRV
Tete orthobunyavirus	TSUV
Tete orthobunyavirus	WELV
Thimiri orthobunyavirus	THIV
Timboteua orthobunyavirus	TBTV
Trivittatus orthobunyavirus	TVTV
Trivittatus orthobunyavirus	ACHOV
Trivittatus orthobunyavirus	INFV
Turlock orthobunyavirus	UMBV
Turlock orthobunyavirus	LEDV
Turlock orthobunyavirus	TURV
Utinga orthobunyavirus	UTIV
Utinga orthobunyavirus	UTEV
Witwatersrand orthobunyavirus	WITV
Wolkberg orthobunyavirus	WBV
Wyeomyia orthobunyavirus	WYOV
Wyeomyia orthobunyavirus	TAIAV
Wyeomyia orthobunyavirus	TUCV
Zegla orthobunyavirus	ZEGV
Pacui pacuvirus	PACV
Rio Preto da Eva pacuvirus	RPEV
Tapirape pacuvirus	TAPV
Insect shangavirus	SgIV-1
Ferak feravirus	FERV
Insect inshuvirus	SgIV-2
Jonchet jonvirus	JONV
Culex orthophasmavirus	CPLV
Ganda orthophasmavirus	GBEEV
Kigluaik phantom orthophasmavirus	KPV
Nome phantom orthophasmavirus	NPV
Odonate orthophasmavirus	HbOV-1
Qingling orthophasmavirus	HbOV-9
Seattle orthophasmavirus	SEPV
Wuchang cockroach orthophasmavirus 1	WCV1
Wuhan mosquito orthophasmavirus 1	WMV1
Wuhan mosquito orthophasmavirus 2	WMV2
Sanxia sawastrivirus	SxWSV-2
Insect wuhivirus	WhIV-2
Guertu banyangvirus	GTV
Heartland banyangvirus	HRTV
Huaiyangshan banyangvirus	SFTSV
Dipteran beidivirus	HbDV-3
Cumuto goukovirus	CUMV
Gouleako goukovirus	GOUV
Yichang insect goukovirus	YIV
Horsefly horwuvirus	WhHV
Dipteran hudivirus	HbDV-4
Lepidopteran hudovirus	HbLV-1
